apm_code,nombre,estado,lifecycle_status,clase_aplicacion,tipo_de_aplicacion,icr_relevant,data_protection_relevant
AP31874,SEOL - Security Eye on Logging,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf customized),false,true
AP18891,SERA,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
IT00159,SEREM Elettrico,Active,Production,Business Transactional,Custom (developed from the scratch),true,true
IT02282,Serem GAS II,Active,Production,Business Transactional,Custom (developed from the scratch),true,true
AP35751,SERIN,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP04261.18,Service Delivery EUS - I&TS SD Providers,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP01869,ServiceCloud,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
DD00054,Services,Active,Production,Technical infrastructures,Custom (developed from the scratch),false,false
AP30632,Servicio de Restauración Sede,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP02094.09,Servicios Callejero,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
IT05924,Servicos canais digitais BR,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,true
AP02260.06,Servidor R GP,Active,Production,Business Analytics,Custom (developed from the scratch),false,false
AP06952.03,Servizi aggiuntivi,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP06451,Servizi portali COS DH,Active,Production,Technical infrastructures,Custom (developed from the scratch),false,false
AP04713.01,Servizi Unix,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP36521,Servizio corrieri espresso,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP35736,Set Trento - Applicazioni esterne con supporto Enel,Active,Validated,ICS-OT,Custom (developed from the scratch),false,false
AP04125,SF accesos EDE,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,true
AP04125.03,SF RECLAMACIONES,Active,Production,Business Transactional,Custom (developed from the scratch),true,true
AP01841,SFA SGCPA,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),true,true
AP04977,SFI,Active,Read Only,Business Analytics,Custom (developed from the scratch),false,false
AP17275,Sgam - Sistema Gestione Allerta Meteo,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP25812,SGC - SE Suite SoftExpert Brasil,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf NOT customized),false,true
AP36056,SGC - Sistema de Gestão e Controle de Processos da Conformidade Regulatória,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
IT05897.25,SGD,Active,Read Only,Business Transactional,Custom (developed from the scratch),false,false
AP04988,SGD COLOMBIA (EEC),Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP14131.01,SGE - AMANAJE Sao Paulo,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP14131.02,SGE - ARACE Sao Paulo,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
AP14131.03,SGE - AUTOFAT Sao Paulo,Active,Production,Business Transactional,Custom (developed from the scratch),false,false
